DETAILED_RACE|1102-3|Cheyenne
DETAILED_RACE|1106-4|Cheyenne and Arapaho Tribes, Oklahoma
DETAILED_RACE|3085-8|Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota
DETAILED_RACE|3086-6|Chickahominy Indian Tribe
DETAILED_RACE|1109-8|Chickahominy Indian Tribe - Eastern Division
DETAILED_RACE|3088-2|Chicken Ranch Rancheria of Me-Wuk Indians of California
DETAILED_RACE|1055-3|Chimariko
DETAILED_RACE|1114-8|Chinook
DETAILED_RACE|1123-9|Chippewa
DETAILED_RACE|3092-4|Chippewa Cree Indians of the Rocky Boy's Reservation, Montana
DETAILED_RACE|1153-6|Chitimacha Tribe of Louisiana
DETAILED_RACE|1155-1|Choctaw
DETAILED_RACE|3095-7|Choctaw-Apache Community of Ebarb
DETAILED_RACE|1162-7|Chumash
DETAILED_RACE|1479-5|Citizen Potawatomi Nation, Oklahoma
DETAILED_RACE|1115-5|Clatsop
DETAILED_RACE|1165-0|Clear Lake
DETAILED_RACE|1156-9|Clifton Choctaw Tribe of Louisiana
DETAILED_RACE|3101-3|Cloverdale Rancheria of Pomo Indians of California
DETAILED_RACE|1725-1|Cocopah Tribe of Arizona
DETAILED_RACE|1167-6|Coeur D'Alene Tribe
DETAILED_RACE|1169-2|Coharie Indian Tribe
DETAILED_RACE|3105-4|Cold Springs Rancheria of Mono Indians of California
DETAILED_RACE|1171-8|Colorado River Indian Tribes of the Colorado River Indian Reservation, Arizona and California
DETAILED_RACE|1394-6|Columbia
DETAILED_RACE|1116-3|Columbia River Chinook
DETAILED_RACE|3109-6|Comanche Nation, Oklahoma
DETAILED_RACE|1560-2|Confederated Salish and Kootenai Tribes of the Flathead Reservation
DETAILED_RACE|1707-9|Confederated Tribes and Bands of the Yakama Nation
DETAILED_RACE|1607-1|Confederated Tribes of Siletz Indians of Oregon
DETAILED_RACE|1080-1|Confederated Tribes of the Chehalis Reservation
DETAILED_RACE|1173-4|Confederated Tribes of the Colville Reservation
DETAILED_RACE|1178-3|Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians
DETAILED_RACE|1591-7|Confederated Tribes of the Goshute Reservation, Nevada and Utah
DETAILED_RACE|1262-5|Confederated Tribes of the Grand Ronde Community of Oregon
DETAILED_RACE|1665-9|Confederated Tribes of the Umatilla Indian Reservation
DETAILED_RACE|1683-2|Confederated Tribes of the Warm Springs Reservation of Oregon
DETAILED_RACE|1180-9|Coos
DETAILED_RACE|1182-5|Coquille Indian Tribe
